@relation oneGaussianTwoMultinomial

@attribute A {1,2}
@attribute B {1,2,3}
@attribute C real

@data
2,3,1.400045
2,3,0.499984
2,2,0.96618
1,3,-1.15641
2,2,-0.65655
2,3,0.753833
2,3,-0.79365
2,2,1.18954
1,3,-0.07243
2,2,-0.07674
2,1,2.395482
2,3,0.888196
2,3,-0.35708
1,2,1.263877
2,2,-0.11621
1,2,0.391881
2,3,0.72494
2,2,-0.00125
2,3,0.599439
2,3,1.275517
2,2,-1.03478
2,3,1.316767
2,2,1.687402
1,2,-0.14731
2,3,-0.61356
1,3,-0.02398
1,1,1.146554
2,2,1.860095
2,2,1.348987
2,3,0.551192
2,3,1.045699
2,3,2.279159
2,3,-1.17542
2,3,0.973642
2,2,0.527844
2,2,0.425701
1,3,1.435689
2,3,0.43211
1,2,0.62303
2,3,0.08827
2,3,-0.25904
2,3,2.983201
1,3,1.107456
2,3,-0.79444
2,3,1.318848
2,3,1.594149
2,3,0.268916
2,3,0.400233
2,2,2.014205
2,3,1.300727
1,3,0.487999
2,3,-0.33663
1,3,0.995469
2,3,1.200363
2,3,-0.17180
1,3,0.01775
2,1,0.606457
2,2,0.03168
1,2,0.236918
2,2,0.502766
2,3,-0.27262
2,3,-0.56601
2,2,0.910457
2,3,0.15432
2,2,-0.63371
1,3,0.34374
2,1,1.007084
2,3,0.323177
2,3,0.824849
2,3,-0.39309
1,2,-0.19400
2,3,0.442843
2,2,1.8575
1,2,-0.17389
1,3,1.197441
2,3,1.37561
2,3,1.80071
2,3,-1.19552
2,1,-0.07869
2,2,1.074741
2,2,-0.04705
2,3,-0.00152
2,2,2.138855
2,2,1.154677
2,3,0.934214
2,3,2.198768
2,2,-0.36524
2,3,-0.30347
